"socialdna_social_connected_networks";"My Social Identities"
"socialdna_social_connected_networks_help";Connecting to the network with your account allows you to update your status, publish activity, send messages and see what your friends are up to. To connect, click on the "Connect" link.
"socialdna_social_connected_networks_connected";"Connected"
"socialdna_social_connected_networks_disconnect";"Disconnect"
"socialdna_social_connected_networks_as";"as"
"socialdna_social_connected_networks_connect";"Connect"

"socialdna_social_connected_networks_quicklogin";"Quick Login"
"socialdna_social_connected_networks_quicklogin_help";"Connect your account to one of the networks below for quick login to this website. Next time you are visiting, you will be able to login using one of these providers."

"socialdna_social_socially_me_dashboard";"Socially Me"

"socialdna_social_media_my_photos";"My Social Photos"
"socialdna_social_media_no_photos";"No Photos"
"socialdna_social_media_loading";"Loading albums, please wait ..."
"socialdna_social_media_loading_error";"Error loading albums, please try again later."
"socialdna_social_media_my_photos_help";"Select which of your albums would you like to import to "My Photos" and click "Import / Update Album". You can synchronize your new photos by visiting this page again."
"socialdna_social_media_photos_from";"Photos from"
"socialdna_social_media_photos_connect_more";"connect more"
"socialdna_social_media_album_imported";"Imported"
"socialdna_social_media_album_update";"Update Album"
"socialdna_social_media_album_import";"Import Album"
"socialdna_social_media_no_albums";"No albums"
"socialdna_social_media_not_connected";"You have no social services connected."
"socialdna_social_media_connect";"Connect"
"socialdna_social_media_connect_next";"and you will be able to import your albums and photos."
"socialdna_social_settings_status";"What are you doing right now?"
"socialdna_social_settings_status_help";"Would you like to have your status updated automatically across connected social networks without prompting?"
"socialdna_social_settings_status_update";"Status Update"
"socialdna_social_settings_status_noupdate";"Do not update at all"
"socialdna_social_settings_newsfeedstories";"Newsfeed Stories"
"socialdna_social_settings_newsfeedstories_help";"Publishing stories with your social identity"
"socialdna_social_settings_newsfeedstories_publish";"Publish?"
"socialdna_social_settings_newsfeedstories_publish_prompt";"Prompt before publishing?"
"socialdna_publisher_wouldyou";"Would you like to publish your story?"
"socialdna_publisher_whatsonyourmind";"What's on your mind?"
"socialdna_publisher_publishto";"Publish to"
"socialdna_publisher_connectedas";"Connected as"
"socialdna_publisher_connect";"Click to Connect"
"socialdna_publisher_autopublish";"Autopublish next time"
"socialdna_publisher_publishing";"Publishing..."
"socialdna_publisher_published";"Your story has been published!"
"socialdna_publisher_error";"Error publishing. Please try again later."
   
   
"socialdna_socialfriends_connectmore";"connect more"
"socialdna_socialfriends_send_message";"Send Message"
"socialdna_socialfriends_from";"Friends from"
"socialdna_socialfriends_can_message";"You can only send messages to your friends on Facebook, Twitter and LinkedIn. Facebook friends will only receive the message if they are online."
"socialdna_socialfriends_block_title";"My Social Friends"
"socialdna_socialfriends_my_friends";"My Social Friends"
"socialdna_socialfriends_select";"Select recipients below"
"socialdna_socialfriends_to";"To"
"socialdna_socialfriends_subject";"Subject"
"socialdna_socialfriends_message";"Message"
"socialdna_socialfriends_sending";"Sending..."
"socialdna_socialfriends_sent";"Message Sent!"
"socialdna_socialfriends_networks_all";"All"
"socialdna_socialfriends_friends_selected";"Selected"
"socialdna_socialfriends_friends_all";"All"
"socialdna_socialfriends_friends_of";"of"
"socialdna_socialfriends_nofriends";"No Friends"
"socialdna_socialfriends_message_send";"Send"
"socialdna_socialfriends_message_cancel";"Cancel"

"socialdna_connect_invalid_service";"Invalid Service"
"socialdna_connect_account_linked";"You have already linked your account to "
"socialdna_connect_account_linked_another";"This account is already connected to another user."
"socialdna_connect_this_account_linked_another";"This %s account is already connected to another user."


"socialdna_module_socialdna";"Social DNA plugin"
"socialdna_menu_socialdna_socially_me";"My Social DNA"
"socialdna_menu_socialdna_my_facebook";"My Facebook"
"socialdna_menu_socialdna_settings";"Facebook Settings"
"socialdna_menu_socialdna_socialsettings";"Social Settings"
"socialdna_menu_socialdna_socialmedia";"Photos"
"socialdna_menu_socialdna_invite_facebook_friends";"Invite Facebook Friends"
"socialdna_menu_socialdna_my_facebook_friends";"My Facebook Friends"
"socialdna_menu_socialdna_my_social_friends";"My Social Friends"
"socialdna_menu_socialdna_sociallyme_settings";"SociallyMe Settings"
"socialdna_admin_menu_settings";"Social Signup & Fields Mapping"
"socialdna_admin_menu_openid_users";"Social DNA Users"
"socialdna_admin_menu_feed_stories";"Feed Stories"
"socialdna_admin_menu_help_faq";"Help&FAQ"
"socialdna_admin_menu_openid_services";"Social Services"
"socialdna_admin_menu_facebook_settings";"Facebook Settings"
"socialdna_admin_menu_statistics";"Statistics"
"socialdna_facebook";"My Facebook"
"socialdna_my_facebook";"My Facebook"
"socialdna_my_facebook_friends";"My Facebook Friends"
"socialdna_facebook_invited";"Invitations sent!"
"socialdna_facebook_invite_my_facebook_friends";"Invite My Facebook Friends"
"socialdna_facebook_settings_successfully_updated";"Settings Successfully Updated"
"socialdna_my_facebook_settings";"My Facebook Settings"
"socialdna_socially_me_settings";"SociallyMe Settings"
"socialdna_openid_connect";"Connect"
"socialdna_admin_facebook_feed_stories";"Facebook Feed Stories"
"socialdna_openid_invalid_api_key";"Invalid API Key."
"socialdna_openid_invalid_secret";"Invalid Secret."
"socialdna_admin_facebook_settings";"Facebook Settings"
"socialdna_admin_openid_help_n_faq";"SocialDNA Help & FAQ"
"socialdna_admin_openid_services";"Social DNA Services"
"socialdna_admin_openid_signup_settings";"Signup Settings and Social Fields Mapping"
"socialdna_admin_openid_all_services";"All"
"socialdna_admin_openid_users";"Social DNA Users"
"socialdna_facebook_my_facebook";"My Facebook"
"socialdna_openid_sign_in_using";"OR SIGN IN USING"
"socialdna_facebook_not_logged_in";"You are currently not logged in to Facebook and can't publish stories to your Facebook friends. Would you like to Connect ?"
"socialdna_facebook_connect_button";"Connect"
"socialdna_facebook_cancel_button";"Cancel"
"socialdna_facebook_publish_stories";"Publish stories to Facebook?"
"socialdna_openid_or";"or"
"socialdna_facebook_login_via_facebook_title";"Login via Facebook?"
"socialdna_facebook_login_via_facebook_message";"You are currently logged in to Facebook. Would you like to login to the network?"
"socialdna_facebook_login_via_facebook_login";"Login"
"socialdna_facebook_login_via_facebook_cancel";"Cancel"
"socialdna_facebook_login_via_facebook_remember";"Remember my choice"
"socialdna_facebook_publish_story_title";"Would you like to publish this story to Facebook?"
"socialdna_facebook_publish_story_publish";"Publish"
"socialdna_facebook_publish_story_notyet";"Not yet, I need to change a photo!"
"socialdna_facebook_publish_story_cancel";"No, do not publish"
"socialdna_facebook_publish_story_neverask";"Never ask me again"
"socialdna_openid_signup_welcome_message";"Welcome to our network!"
"socialdna_openid_signup_hello";"Hello"
"socialdna_openid_signup_already_have_account";"Already have an account?"
"socialdna_openid_signup_connect_account";"Click here to login and connect your account to"
"socialdna_openid_signup_newuser";"New user?"
"socialdna_openid_signup_newuser_signup";"Click here for quick signup"
"socialdna_openid_link_loggedinas";"You are currently logged in as"
"socialdna_openid_link_question";"Would you like to connect your %s account?"
"socialdna_openid_link_confirm";"Yes, Connect my account"
"socialdna_openid_link_cancel";"Cancel"
"socialdna_facebook_no_facebook_friends";"No Facebook Friends have connected with you on this site, yet."
"socialdna_facebook_instant_login";"Autologin"
"socialdna_facebook_instant_login_help";"Automatically log in to this website if you are also logged in to Facebook"
"socialdna_facebook_enable_instant_login_question";"Enable Autologin"
"socialdna_facebook_enable_instant_login_ask";"Always ask me"
"socialdna_facebook_enable_instant_login_yes";"Yes, Log me in to this website whenever I'm logged into Facebook"
"socialdna_facebook_enable_instant_login_no";"No, Never log me in automatically using Facebook"
"socialdna_facebook_status_update";"Facebook Status Update"
"socialdna_facebook_status_update_help";"If you would like to have your Facebook status updated automatically without prompting, you need authorize it."
"socialdna_facebook_status_update_question";"Status Update"
"socialdna_facebook_status_update_ask";"Always ask me"
"socialdna_facebook_status_update_auto";"Update automatically"
"socialdna_facebook_status_update_statuscheck";"Status"
"socialdna_facebook_status_update_statuschecking";"Checking..."
"socialdna_facebook_status_update_authorized";"Authorized"
"socialdna_facebook_status_update_notauthorized";"Not Authorized"
"socialdna_facebook_status_update_authorize";"Click to authorize"
"socialdna_facebook_feed_stories";"Facebook Feed Stories"
"socialdna_facebook_feed_stories_help";"Publishing stories to Facebook"
"socialdna_facebook_invite_login";"Please login to Facebook to invite your friends."
"socialdna_facebook_invite_tophelp";""
"socialdna_facebook_invite_tophelp_link";"Click here to invite your friends by email"
"socialdna_facebook_not_connected";"You are not connected to Facebook. Click on the button below to connect with your facebook friends, publish stories and see your friends' updates."
"socialdna_facebook_loading";"Loading..."
"socialdna_facebook_login_for_friends";"Please login to Facebook to see your friends."
"socialdna_facebook_friends_youhave";"You have"
"socialdna_facebook_friends_youhave2";"Facebook friend(s) that is already here"
"socialdna_facebook_friends_youhave3";"%s Facebook friend that is already here"
"socialdna_facebook_friends_youhave4";"%s Facebook friends that are already here"
"socialdna_facebook_friends_seeall";"See all"
"socialdna_facebook_friends_nofriends";"No Facebook friends"
"socialdna_facebook_friends_invite";"Invite friends"
"socialdna_facebook_friends_nothere";"Your Facebook friends that are still not here"
"socialdna_facebook_friends_invitefriends";"Invite friends"
"socialdna_facebook_friends_allhere";"All your Facebook friends are here!"
"socialdna_facebook_disconnect";"Click here if you would like to disconnect your account from Facebook"
"socialdna_admin_openid_network";"Network"
"socialdna_admin_facebook_feed_stories";"Feed Story Templates"
"socialdna_admin_facebook_feed_stories_help";"Feed story templates specify what and how will be published in the facebook news stream."
"socialdna_openid_quick_signup_with";"Quick signup with"
"socialdna_openid_login_more";"more"

"socialdna_feedstory_desc_group";"Creating a Group"
"socialdna_feedstory_desc_event";"Creating an Event"
"socialdna_feedstory_desc_blog";"Posting a Blog Entry"
"socialdna_feedstory_desc_user_status";"Changing status"
"socialdna_feedstory_desc_video";"Adding A Video"
"socialdna_feedstory_desc_photo";"Uploading A Photo"
"socialdna_feedstory_desc_poll";"Creating a Poll"
"socialdna_feedstory_desc_quiz";"Creating a Quiz"
"socialdna_feedstory_desc_music_song";"Uploading a song"
"socialdna_feedstory_desc_music_playlist";"Creating a music playlist"
"socialdna_feedstory_desc_classified";"Creating a Classified Listing"
"socialdna_feedstory_desc_user_joined";"Signing up"
"socialdna_feedstory_desc_bulletin";"Posting a Bulletin Entry"
"socialdna_feedstory_desc_forum";"Creating a Forum Topic"
"socialdna_feedstory_desc_forum_reply";"Posting a forum reply"
"socialdna_feedstory_desc_user_photo";"Updating profile photo"
"socialdna_feedstory_desc_photo_album";"Uploading Photos to Album"
"socialdna_feedstory_desc_pollvoteadd";"Voting for a Poll"
"socialdna_feedstory_desc_post_self";"Posting an activity"

"socialdna_openid_welcome_email_subject";"Welcome to %s"
"socialdna_openid_welcome_email_content";"Thanks for joining our community!"



"socialdna_admin_enter_service_parameters";"Please enter service parameters that you have received after creating appropriate application. For instructions, see the Help Tab."
"socialdna_admin_service_settings_title";"Service Settings"


"SOCIALDNA_ADMIN_STATS_DESC"; ""

"socialdna_signup_using";"Or Signup Using"
"socialdna_login_using";"Or Login Using"


"%s friend found.";"%s friend found.";"%s friends found."
"You have %s Facebook friend that is already here"; "You have %s Facebook friend that is already here"; "You have %s Facebook friends that are already here"
